"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.309451807E1,4.132343746E1,1.976061655E1,1.116429476E2,1.520689857E2,5.102765535E-2,NaN,3.609746254E-2,2.168498691E0,1.300977365E1,-1.000000000E0
9.409359455E1,4.132343754E1,1.976061653E1,1.116006552E2,1.520266935E2,5.114354101E-2,NaN,3.610052614E-2,2.161561768E0,1.344553283E1,-1.000000000E0
9.509429657E1,4.132343755E1,1.976061657E1,1.115623642E2,1.519884027E2,9.071409932E-3,NaN,3.610915927E-2,2.161532385E0,1.336480646E1,-1.000000000E0
9.609815848E1,4.132343762E1,1.976061657E1,1.115136837E2,1.519397226E2,4.166071020E-2,NaN,3.611632211E-2,2.154689332E0,1.357241299E1,-1.000000000E0
9.709430718E1,4.132343769E1,1.976061654E1,1.114461965E2,1.518722354E2,1.844706446E-2,NaN,3.612051287E-2,2.147971125E0,1.370559614E1,-1.000000000E0
9.809249330E1,4.132343768E1,1.976061659E1,1.112654307E2,1.516914698E2,1.169073448E-1,NaN,3.612374748E-2,2.147994450E0,1.376221424E1,-1.000000000E0
9.909415162E1,4.132343765E1,1.976061661E1,1.112116335E2,1.516376726E2,4.746808883E-2,NaN,3.613089917E-2,2.148018017E0,1.388176514E1,-1.000000000E0
1.000976806E2,4.132343762E1,1.976061668E1,1.111278050E2,1.515538444E2,4.185392739E-2,NaN,3.613516654E-2,2.148041662E0,1.357008155E1,-1.000000000E0
1.010940171E2,4.132343762E1,1.976061673E1,1.107685142E2,1.511945539E2,1.259079857E-1,NaN,3.614831767E-2,2.147935960E0,1.320813031E1,-1.000000000E0
1.020934902E2,4.132343762E1,1.976061689E1,1.105346433E2,1.509606839E2,1.437694882E-1,NaN,3.616297404E-2,2.141549567E0,1.342848234E1,-1.000000000E0
1.030938523E2,4.132343763E1,1.976061706E1,1.104593757E2,1.508854172E2,1.139105390E-1,NaN,3.617605277E-2,2.135590992E0,1.369337060E1,-1.000000000E0
1.040973744E2,4.132343762E1,1.976061722E1,1.105255223E2,1.509515647E2,1.150560243E-1,NaN,3.619750628E-2,2.129937052E0,1.391868161E1,-1.000000000E0
1.050931951E2,4.132343755E1,1.976061746E1,1.106622864E2,1.510883298E2,5.284046369E-2,NaN,3.621130502E-2,2.117909346E0,1.384320004E1,-1.000000000E0
1.060927305E2,4.132343753E1,1.976061762E1,1.106809805E2,1.511070248E2,4.287050466E-2,NaN,3.621326375E-2,2.112425205E0,1.388335418E1,-1.000000000E0
1.070931786E2,4.132343753E1,1.976061765E1,1.105577299E2,1.509837742E2,1.175172727E-1,NaN,3.621368905E-2,2.112449121E0,1.388554775E1,-1.000000000E0
1.081003881E2,4.132343754E1,1.976061764E1,1.105745244E2,1.510005688E2,5.327828469E-2,NaN,3.622517669E-2,2.112473286E0,1.374110823E1,-1.000000000E0
1.090928204E2,4.132343754E1,1.976061778E1,1.105466305E2,1.509726756E2,1.103375957E-1,NaN,3.623291797E-2,2.107221859E0,1.393171562E1,-1.000000000E0
1.100977954E2,4.132343753E1,1.976061787E1,1.106962515E2,1.511222971E2,2.893780199E-2,NaN,3.623443368E-2,2.102176909E0,1.426129342E1,-1.000000000E0
1.110935652E2,4.132343753E1,1.976061789E1,1.107243665E2,1.511504122E2,3.848724328E-2,NaN,3.624249230E-2,2.102200594E0,1.425760718E1,-1.000000000E0
1.120986832E2,4.132343751E1,1.976061798E1,1.109165371E2,1.513425832E2,6.394628824E-2,NaN,3.624329558E-2,2.097500621E0,1.496290421E1,-1.000000000E0
1.130918137E2,4.132343751E1,1.976061797E1,1.107772139E2,1.512032599E2,2.918586837E-2,NaN,3.625095440E-2,2.097269290E0,1.488847688E1,-1.000000000E0
1.140940112E2,4.132343749E1,1.976061806E1,1.108288920E2,1.512549385E2,1.250548918E-1,NaN,3.625298392E-2,2.092450292E0,1.518687762E1,-1.000000000E0
1.150921994E2,4.132343749E1,1.976061808E1,1.107006419E2,1.511266885E2,6.729727705E-2,NaN,3.625643034E-2,2.092358686E0,1.537639285E1,-1.000000000E0
1.160998544E2,4.132343750E1,1.976061804E1,1.106587328E2,1.510847792E2,4.290444634E-2,NaN,3.625847299E-2,2.092286532E0,1.568297983E1,-1.000000000E0
1.170925988E2,4.132343749E1,1.976061802E1,1.105955186E2,1.510215649E2,1.824627978E-2,NaN,3.626363920E-2,2.092264602E0,1.599410352E1,-1.000000000E0
1.181001379E2,4.132343747E1,1.976061808E1,1.104344161E2,1.508604626E2,2.270322664E-2,NaN,3.626832136E-2,2.087423564E0,1.647107064E1,-1.000000000E0
1.190935961E2,4.132343745E1,1.976061803E1,1.106384896E2,1.510645357E2,6.247941610E-2,NaN,3.627083494E-2,2.087181358E0,1.628597084E1,-1.000000000E0
1.200985979E2,4.132343743E1,1.976061803E1,1.106384804E2,1.510645264E2,1.807551228E-2,NaN,3.627812489E-2,2.087205768E0,1.651273009E1,-1.000000000E0
1.210937580E2,4.132343737E1,1.976061806E1,1.105158893E2,1.509419353E2,5.603751087E-2,NaN,3.628118290E-2,2.082305664E0,1.696353313E1,-1.000000000E0
