"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.768654417E0,2.947418976E1,-1.611962128E1,3.962226868E1,5.194703290E1
2.778586417E0,2.949231720E1,-1.584293365E1,3.973055267E1,5.195490483E1
2.788517417E0,2.945849609E1,-1.593560791E1,3.928869629E1,5.162701083E1
2.798449417E0,2.908766174E1,-1.601828766E1,3.916371155E1,5.134660561E1
2.808381417E0,2.924520874E1,-1.591259766E1,3.960773468E1,5.174230034E1
2.818312417E0,2.895464325E1,-1.594316864E1,3.930126953E1,5.135314770E1
2.828244417E0,2.955176544E1,-1.582163239E1,3.952497864E1,5.182523351E1
2.838176417E0,2.940334320E1,-1.584252930E1,3.967955399E1,5.186529987E1
2.848107417E0,2.967137909E1,-1.582953644E1,3.949153137E1,5.187047340E1
2.858039417E0,2.935538483E1,-1.593479156E1,3.925911331E1,5.154545740E1
2.867971417E0,2.937048340E1,-1.597863007E1,3.960617065E1,5.183233226E1
2.877902417E0,2.938444519E1,-1.600167084E1,3.945151520E1,5.172930640E1
2.887834417E0,2.962048340E1,-1.586191559E1,3.961354065E1,5.194425864E1
2.897766417E0,2.929164886E1,-1.599266815E1,3.971672440E1,5.187662599E1
2.907697417E0,2.934725952E1,-1.605723572E1,3.963277435E1,5.186379530E1
2.917629417E0,2.898980713E1,-1.581327820E1,3.967196274E1,5.161718040E1
2.927561417E0,2.947883606E1,-1.594293213E1,3.954338074E1,5.183490928E1
2.937492417E0,2.920412445E1,-1.581388092E1,3.919499969E1,5.137321983E1
2.947424417E0,2.949369049E1,-1.588020325E1,3.953258896E1,5.181586845E1
2.957356417E0,2.918772125E1,-1.596250153E1,3.917778397E1,5.139672444E1
2.967287417E0,2.934410095E1,-1.603228760E1,3.950014496E1,5.175298985E1
2.977219417E0,2.915926361E1,-1.615132904E1,3.904016876E1,5.133481140E1
2.987151417E0,2.953862000E1,-1.617378235E1,3.917518616E1,5.166058959E1
2.997082417E0,2.921150970E1,-1.596556854E1,3.919042969E1,5.142082708E1
3.007014417E0,2.935707855E1,-1.584680176E1,3.921745300E1,5.148755002E1
3.016946417E0,2.909313202E1,-1.577565765E1,3.926856995E1,5.135467156E1
3.026877417E0,2.953453827E1,-1.595192719E1,3.946224594E1,5.180754565E1
3.036809417E0,2.901854706E1,-1.610844421E1,3.921481323E1,5.137469830E1
3.046741417E0,2.948535156E1,-1.600557709E1,3.911921692E1,5.153520726E1
3.056672417E0,2.935665131E1,-1.576713562E1,3.919287109E1,5.144411226E1
3.066604417E0,2.927456665E1,-1.597500610E1,3.959472656E1,5.176817018E1
3.076536417E0,2.910313416E1,-1.592826843E1,3.920671082E1,5.136018230E1
3.086467417E0,2.965290833E1,-1.603425598E1,3.918800735E1,5.169228431E1
