"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.012053917E0,1.195228577E1,3.097922897E1,-2.106173706E1,3.932132412E1
2.021983917E0,1.215089417E1,3.100992203E1,-2.153664398E1,3.966215485E1
2.031913917E0,1.198613739E1,3.083119583E1,-2.170682526E1,3.956534328E1
2.041844917E0,1.203860474E1,3.102392197E1,-2.132892609E1,3.952638140E1
2.051774917E0,1.174560547E1,3.099016571E1,-2.154804230E1,3.953059253E1
2.061704917E0,1.198912811E1,3.107810593E1,-2.158840942E1,3.969442382E1
2.071634917E0,1.203503418E1,3.094726562E1,-2.137631989E1,3.949078816E1
2.081565917E0,1.216895294E1,3.094005585E1,-2.118773651E1,3.942449302E1
2.091495917E0,1.200428009E1,3.092440414E1,-2.096553802E1,3.924251899E1
2.101425917E0,1.194659424E1,3.090714264E1,-2.156465149E1,3.953488047E1
2.111355917E0,1.196071625E1,3.086825943E1,-2.136632538E1,3.940086336E1
2.121286917E0,1.214695740E1,3.076477814E1,-2.146669006E1,3.943144596E1
2.131216917E0,1.198681641E1,3.086937332E1,-2.147172546E1,3.946690983E1
2.141146917E0,1.222070312E1,3.077561951E1,-2.165852356E1,3.956736008E1
2.151076917E0,1.205497742E1,3.089684677E1,-2.137761688E1,3.945808060E1
2.161007917E0,1.245281982E1,3.073790741E1,-2.128795624E1,3.940899332E1
2.170937917E0,1.219197083E1,3.104474640E1,-2.155422974E1,3.971152542E1
2.180867917E0,1.218829346E1,3.087702179E1,-2.138031006E1,3.948496714E1
2.190797917E0,1.201667023E1,3.084154510E1,-2.124732971E1,3.933256015E1
2.200728917E0,1.236928558E1,3.096603012E1,-2.127032471E1,3.955149758E1
2.210658917E0,1.208335876E1,3.104120636E1,-2.150716400E1,3.964999565E1
2.220588917E0,1.209452820E1,3.071984100E1,-2.148025513E1,3.938765802E1
2.230519917E0,1.198445129E1,3.084169769E1,-2.149497223E1,3.945720746E1
2.240449917E0,1.196662903E1,3.084610748E1,-2.129743958E1,3.934797949E1
2.250379917E0,1.204863739E1,3.091941833E1,-2.156301117E1,3.957453150E1
2.260309917E0,1.175862885E1,3.105363464E1,-2.175049591E1,3.969480633E1
2.270240917E0,1.177523041E1,3.098911667E1,-2.130547333E1,3.940691052E1
2.280170917E0,1.203195953E1,3.098737717E1,-2.136760712E1,3.951658168E1
2.290100917E0,1.175180817E1,3.080289459E1,-2.122173309E1,3.920822957E1
2.300030917E0,1.195763397E1,3.089701080E1,-2.123146057E1,3.934952611E1
2.309961917E0,1.203800201E1,3.101146317E1,-2.125321198E1,3.947560461E1
2.319891917E0,1.207946777E1,3.098274612E1,-2.133376312E1,3.950915777E1
2.329821917E0,1.225851440E1,3.102441406E1,-2.122360992E1,3.953766636E1
2.339752000E0,1.236835480E1,3.113191986E1,-2.118220520E1,3.963405672E1
2.349683000E0,1.216625214E1,3.108014679E1,-2.134210968E1,3.961664879E1
