"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.973266625E0,1.233963776E1,-1.609584045E1,-5.056637573E1,5.448211720E1
2.983198625E0,1.228324127E1,-1.593796539E1,-5.039914703E1,5.426758497E1
2.993131625E0,1.224400330E1,-1.593284607E1,-5.065427399E1,5.449428111E1
3.003063625E0,1.261186981E1,-1.600297546E1,-5.077248383E1,5.470831379E1
3.012996625E0,1.234215546E1,-1.593830109E1,-5.076883698E1,5.462447300E1
3.022928625E0,1.222261047E1,-1.601992035E1,-5.086244202E1,5.470848255E1
3.032861625E0,1.223432159E1,-1.590431213E1,-5.054499054E1,5.438218309E1
3.042793625E0,1.231315613E1,-1.596442413E1,-5.044333649E1,5.432317045E1
3.052725625E0,1.214158630E1,-1.618621826E1,-5.044098663E1,5.434799823E1
3.062658625E0,1.222525787E1,-1.606330872E1,-5.033003998E1,5.422729701E1
3.072590625E0,1.229773712E1,-1.618997192E1,-5.037562561E1,5.432359694E1
3.082523625E0,1.221369171E1,-1.604404449E1,-5.044706726E1,5.432763776E1
3.092455625E0,1.226455688E1,-1.593838501E1,-5.044011688E1,5.430153647E1
3.102388625E0,1.216636658E1,-1.609633636E1,-5.019866943E1,5.410193095E1
3.112320625E0,1.211855316E1,-1.590165710E1,-5.036278534E1,5.418608840E1
3.122252625E0,1.214786530E1,-1.610935974E1,-5.025605774E1,5.415490229E1
3.132185625E0,1.249810791E1,-1.589375305E1,-5.056438446E1,5.445705706E1
3.142117625E0,1.229572296E1,-1.579849243E1,-5.033097839E1,5.416626766E1
3.152050625E0,1.233381653E1,-1.593061066E1,-5.039939117E1,5.427712241E1
3.161982625E0,1.232209015E1,-1.618191528E1,-5.039916229E1,5.434854044E1
3.171915625E0,1.256936646E1,-1.587705994E1,-5.023058319E1,5.415885424E1
3.181847625E0,1.247851562E1,-1.603459167E1,-5.054685211E1,5.447757099E1
3.191780625E0,1.247593689E1,-1.592644501E1,-5.031673431E1,5.423167344E1
3.201712625E0,1.225591278E1,-1.590164185E1,-5.018220520E1,5.404926762E1
3.211644625E0,1.223760986E1,-1.601206970E1,-5.025387573E1,5.414422866E1
3.221577625E0,1.232511139E1,-1.619508362E1,-5.038307953E1,5.433823522E1
